"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
748,"Y","2","F",30,0,0,13,"S"
749,"N","1","M",19,1,0,53.1,"S"
750,"N","3","M",31,0,0,7.75,"Q"
751,"Y","2","F",4,1,1,23,"S"
752,"Y","3","M",6,0,1,12.475,"S"
753,"N","3","M",33,0,0,9.5,"S"
754,"N","3","M",23,0,0,7.8958,"S"
755,"Y","2","F",48,1,2,65,"S"
756,"Y","2","M",0.67,1,1,14.5,"S"
757,"N","3","M",28,0,0,7.7958,"S"
758,"N","2","M",18,0,0,11.5,"S"
759,"N","3","M",34,0,0,8.05,"S"
760,"Y","1","F",33,0,0,86.5,"S"
762,"N","3","M",41,0,0,7.125,"S"
763,"Y","3","M",20,0,0,7.2292,"C"
764,"Y","1","F",36,1,2,120,"S"
765,"N","3","M",16,0,0,7.775,"S"
766,"Y","1","F",51,1,0,77.9583,"S"
768,"N","3","F",30.5,0,0,7.75,"Q"
770,"N","3","M",32,0,0,8.3625,"S"
771,"N","3","M",24,0,0,9.5,"S"
772,"N","3","M",48,0,0,7.8542,"S"
773,"N","2","F",57,0,0,10.5,"S"
775,"Y","2","F",54,1,3,23,"S"
776,"N","3","M",18,0,0,7.75,"S"
778,"Y","3","F",5,0,0,12.475,"S"
780,"Y","1","F",43,0,1,211.3375,"S"
781,"Y","3","F",13,0,0,7.2292,"C"
782,"Y","1","F",17,1,0,57,"S"
783,"N","1","M",29,0,0,30,"S"
785,"N","3","M",25,0,0,7.05,"S"
786,"N","3","M",25,0,0,7.25,"S"
787,"Y","3","F",18,0,0,7.4958,"S"
788,"N","3","M",8,4,1,29.125,"Q"
789,"Y","3","M",1,1,2,20.575,"S"
790,"N","1","M",46,0,0,79.2,"C"
792,"N","2","M",16,0,0,26,"S"
795,"N","3","M",25,0,0,7.8958,"S"
796,"N","2","M",39,0,0,13,"S"
797,"Y","1","F",49,0,0,25.9292,"S"
798,"Y","3","F",31,0,0,8.6833,"S"
799,"N","3","M",30,0,0,7.2292,"C"
800,"N","3","F",30,1,1,24.15,"S"
801,"N","2","M",34,0,0,13,"S"
802,"Y","2","F",31,1,1,26.25,"S"
803,"Y","1","M",11,1,2,120,"S"
804,"Y","3","M",0.42,0,1,8.5167,"C"
805,"Y","3","M",27,0,0,6.975,"S"
806,"N","3","M",31,0,0,7.775,"S"
807,"N","1","M",39,0,0,0,"S"
808,"N","3","F",18,0,0,7.775,"S"
809,"N","2","M",39,0,0,13,"S"
810,"Y","1","F",33,1,0,53.1,"S"
811,"N","3","M",26,0,0,7.8875,"S"
812,"N","3","M",39,0,0,24.15,"S"
813,"N","2","M",35,0,0,10.5,"S"
814,"N","3","F",6,4,2,31.275,"S"
815,"N","3","M",30.5,0,0,8.05,"S"
817,"N","3","F",23,0,0,7.925,"S"
818,"N","2","M",31,1,1,37.0042,"C"
819,"N","3","M",43,0,0,6.45,"S"
820,"N","3","M",10,3,2,27.9,"S"
821,"Y","1","F",52,1,1,93.5,"S"
822,"Y","3","M",27,0,0,8.6625,"S"
823,"N","1","M",38,0,0,0,"S"
824,"Y","3","F",27,0,1,12.475,"S"
825,"N","3","M",2,4,1,39.6875,"S"
828,"Y","2","M",1,0,2,37.0042,"C"
830,"Y","1","F",62,0,0,80,""
831,"Y","3","F",15,1,0,14.4542,"C"
832,"Y","2","M",0.83,1,1,18.75,"S"
834,"N","3","M",23,0,0,7.8542,"S"
835,"N","3","M",18,0,0,8.3,"S"
836,"Y","1","F",39,1,1,83.1583,"C"
837,"N","3","M",21,0,0,8.6625,"S"
839,"Y","3","M",32,0,0,56.4958,"S"
841,"N","3","M",20,0,0,7.925,"S"
842,"N","2","M",16,0,0,10.5,"S"
843,"Y","1","F",30,0,0,31,"C"
844,"N","3","M",34.5,0,0,6.4375,"C"
845,"N","3","M",17,0,0,8.6625,"S"
846,"N","3","M",42,0,0,7.55,"S"
848,"N","3","M",35,0,0,7.8958,"C"
849,"N","2","M",28,0,1,33,"S"
851,"N","3","M",4,4,2,31.275,"S"
852,"N","3","M",74,0,0,7.775,"S"
853,"N","3","F",9,1,1,15.2458,"C"
854,"Y","1","F",16,0,1,39.4,"S"
855,"N","2","F",44,1,0,26,"S"
856,"Y","3","F",18,0,1,9.35,"S"
857,"Y","1","F",45,1,1,164.8667,"S"
858,"Y","1","M",51,0,0,26.55,"S"
859,"Y","3","F",24,0,3,19.2583,"C"
861,"N","3","M",41,2,0,14.1083,"S"
862,"N","2","M",21,1,0,11.5,"S"
863,"Y","1","F",48,0,0,25.9292,"S"
865,"N","2","M",24,0,0,13,"S"
866,"Y","2","F",42,0,0,13,"S"
867,"Y","2","F",27,1,0,13.8583,"C"
868,"N","1","M",31,0,0,50.4958,"S"
870,"Y","3","M",4,1,1,11.1333,"S"
871,"N","3","M",26,0,0,7.8958,"S"
872,"Y","1","F",47,1,1,52.5542,"S"
873,"N","1","M",33,0,0,5,"S"
874,"N","3","M",47,0,0,9,"S"
875,"Y","2","F",28,1,0,24,"C"
876,"Y","3","F",15,0,0,7.225,"C"
877,"N","3","M",20,0,0,9.8458,"S"
878,"N","3","M",19,0,0,7.8958,"S"
880,"Y","1","F",56,0,1,83.1583,"C"
881,"Y","2","F",25,0,1,26,"S"
882,"N","3","M",33,0,0,7.8958,"S"
883,"N","3","F",22,0,0,10.5167,"S"
884,"N","2","M",28,0,0,10.5,"S"
885,"N","3","M",25,0,0,7.05,"S"
886,"N","3","F",39,0,5,29.125,"Q"
887,"N","2","M",27,0,0,13,"S"
888,"Y","1","F",19,0,0,30,"S"
890,"Y","1","M",26,0,0,30,"C"
891,"N","3","M",32,0,0,7.75,"Q"
